CustomerID,Age,Annual_Income_k,Spending_Score,Gender,Premium_Member
1001,19,15,39,Male,No
1002,21,15,81,Male,No
1003,20,16,6,Female,No
1004,23,16,77,Female,Yes
1005,31,17,40,Female,No
1006,22,17,76,Female,No
1007,35,18,6,Female,Yes
1008,23,18,94,Female,No
1009,64,19,3,Male,No
1010,30,19,72,Female,Yes
1011,67,19,14,Male,No
1012,35,19,99,Female,No
1013,58,20,15,Female,No
1014,24,20,77,Female,No
1015,37,20,13,Female,Yes
1015,37,20,13,Female,Yes
1016,22,20,79,Male,No
1017,35,21,35,Female,No
1018,52,23,29,Female,Yes
1019,35,,98,Female,No
1020,35,24,35,Male,Yes
